Name,Comment,Time,Likes,Reply Count
Benjamin Guinness,It's sad that Peterson cannot simply answer any questions otherwise people could easily twist his words on himself. We are moving away from true conversations by complicating it and coming up with more words. We cannot have a simple language cause there is to much truth in it and everyone is lying so here comes more complex words,2022-07-03T08:34:30Z,0,0
Hijodeganas1,It could be that young men are coming to YouTube precisely to find people like Jordan Peterson.,2022-06-10T16:07:24Z,0,1
Mastery Order,"Or any other source of good information, since for many the father figure might be missing at home. If masculinity and mastery are subjects of interest to you, I invite you to explore the videos shared on the Mastery Order Channel to challenge yourself with some ideas about manhood and to become the kind of man you would admire.
We can only better ourselves together, as men among men, so I invite you to use what I share and, of course, give your own opinions so that others can benefit from them as well.
Looking forward to your points of view.
All the best to you!",2022-06-21T13:34:35Z,0,
Musa acuminata,Two of my favourite people,2022-06-04T07:06:25Z,0,0
Ernesto Lopez,Female to MALE RATIO on youtube is 54% to 46%,2022-06-03T00:17:27Z,0,0
Jesper Sorensen,Kathryn nails it in a one line comment below. (J. Peterson is a bit of a 'sullen guide' to the weak men Kathryn mentions).,2022-05-31T05:04:18Z,0,0
Marvin Evans,You look like a woman with a beard and you act gay so. 😆,2022-05-22T18:30:00Z,1,0
paul stuart,"There is a spectrum of masculine & feminine traits in both sexes. It is enforcing certain characteristics on each that creates inner conflict. Maternal overprotection is no worse than disinterest or abuse. Peterson should know that gender change is a result of the need to conform to stereotypes, over 90% of male gender reassignments (the most common) are performed on those who worked in highly masculine jobs as a disguise. If the world stopped trying to homogenise gender expectation it would probably cease to be an issue. When female movie stars began wearing trousers there was little reaction & it is now unquestioned. If a man wears a dress it is an abnormal expression of masculinity, this shows a huge disparity of gender freedom. Both masculine & feminine traits (which have an overlap) can be toxic, that is the desire to assert yourself over another. All of these issues are all bound up in the dogma of religion - you should be what we tell you to be - & has spread into various forms of indoctrination. Religion remains an integral part of our society, it has served humanity badly on every level.",2022-05-19T14:32:52Z,0,0
Kelly Bacelis,"I’m saying this everywhere but just wanted to let you know Jordan Petersons name is inside a sexual trafficking book I’m not sure if it’s this Peterson but it talks about a Peterson in his younger years. It’s written by a Canadian woman so unless there’s other Jordan petersons then it might not be him but there’s a chance it might be him. 

Page 60 titled victim a feminist manifesto of a fierce survivor. 

Good luck! If it’s Peterson everyone’s talking about in this world, y’all are glorifying a contributor to sexual trafficking.",2022-05-18T17:18:20Z,0,1
Outifyio,Jordan Peterson is a very common name so idk,2022-06-24T11:38:22Z,0,
Thomas Monks,"This was great and all gents but did you have to stop talking. Really interesting stuff, thanks for bringing a sane little corner of the Internet into being",2022-05-13T12:25:08Z,0,0
Zack Mire,"Whether you agree or disagree with me as long as you are tolerant. As a young man born in 1998 from Lakemba, New South Wales, Australia in my honest opinion masculinity means courage and protection. True masculinity is all about standing up against bigotry, bullying, sexual assault, violence and other negative threats in our society to have empathy for others who are in danger or harassed. That is why I used the two words ‘courage’ having the bravery to stand up against evil and ‘protection’ by protecting innocent people who are bullied from evil. We as a society obviously need healthy positive masculinity period. Here are three video links below of three selfless men who saved innocent people from danger: 
https://youtu.be/C1SbF4e_Y9k
https://youtu.be/9H9b7HZQcUw
https://youtu.be/QqpMsRwZk_c",2022-05-02T10:45:30Z,0,0
Dan Basso,Almost everybody who watches YouTube is male? Stop talking shit,2022-05-01T00:55:03Z,0,1
Arman Maleknasri,A large majority is 😂,2022-08-30T00:03:36Z,0,
steppahouse,"Rising respect for RB in recent months, both as an interviewer and his obvious interest in parsing through our complicated civ. Here, though, he's overthinking it. While I agree with Peterson's comment that RB's hypothesis warrants thought, there's a simpler explanation. For Boomers especially, and carried over into Xrs, the prevailing assumption by the ad market decision-makers has been that regardless that a household only have one income and it was brought in by the man, the woman still made most of the day to day purchasing decisions, was assumed to use most of the products more often. After spending a couple of decades with that template, and as commercials became more sophisticated, were got more humor. Men have typically been the comic foils in mass media (though there are notable exceptions). However, even in the 90's, maybe due to something like Simpsonifocation or AlBundying, lol, we started seeing a LOT of the boyfriend/husband/father as the oaf, idiot, simpleton. Like...alllll the time.",2022-04-30T18:12:42Z,0,0
HeartSpace Relaxations,"Trickery… ? 

1970: hooray, women you are now free to earn money and be independent. 

2010: women, sorry it now needs two full time wages to feed ti family and pay your accommodation. 

2022: families: the children are no longer yours but the property of the state to indoctrinate.  

Attack on masculinity, women, the family, gender … your freedom?",2022-04-29T18:18:28Z,0,0
Johnny Salter,What a joke J. Peterson talking about masculinity.,2022-04-23T16:46:18Z,0,0
Michael Contreras,Man bun and talking about masculinity.. hello!,2022-04-21T20:31:15Z,0,0
Enrico Gonzo,its funny how people today confuse masculinity with how much testosterone you have. In olden days a real man was a man who treated people and females with respect and dignity and acts of kindness and goodness. how about the feminine in men. men are born from a FEMALE body which means all men are half female too.,2022-04-21T06:41:07Z,0,0
Josue Salgado,I think your hair Russell didn’t help masculinity.,2022-04-14T21:52:56Z,0,0
Navigatiing Darkness,"Omg what Russell said about femininity being fullfilled through materialism because it's  negated socially us so true. Emotionally neglected children and children with emotional trauma tend to have more money issues than children who weren't. And that's straight from experience, books and seeing a therapist lol it's crazy but true",2022-04-05T08:18:46Z,0,0
Paws4Thought,I tapped out at 5:23. I’m an economist and couldn’t take the philosophical nature of this conversation any longer,2022-04-04T22:27:15Z,0,0
justin obyrne,Watch a documentary called the Red Pill😁 enjoy.,2022-04-04T18:27:04Z,0,0
Cacti,"4:06 Brussel point of advertising sexualizing females to the use for consumers is so true. Look at the female celebrities like Britney Spears, Madonna, Doja Cat, Dua Lipa, Nicki Minaj and many more in the past including transgender celebrities (this list is not in order by the way). The music industry abused this type of advertisement to maintain their power. Sadly, they were mainly males. That makes a lot of good males look bad.",2022-03-29T21:00:38Z,0,0
Cranjus McBasketball,Masvidal?,2022-03-26T08:26:21Z,1,0
Scorpeva,Two good men,2022-03-18T20:03:23Z,0,0
Zonked Toaster,"masculinity is as individual as the male born to it and is limited only by male imagination... for example a male acting feminine is a form of masculinity just as a female acting masculine a form of feminism...
the intellectual debate is purely around defining acceptable male social behavior, not what true masculinity is because we don't accept all male behavior as masculine which is a false definition...",2022-03-03T03:02:28Z,1,0
Manchitas84,Wowza.,2022-02-28T18:59:47Z,0,0
Freddy Hercz,"The Holy Spirit is the feminine, it is very feminine. It is powerful, yet motherly toward humanity, Jordan needs to know that",2022-02-27T02:32:47Z,0,0
Paige Anne,I respect the shit out of Russell brand for having these conversations cause they need to happen! Props to him for being attentive and wanting to have a genuine understanding of it…love it Russell keep it going!,2022-02-26T19:15:21Z,0,0
Paul Mathews,"Lol, this is brilliant, two eunuchs talking about masculinity , Russel Brand “I wish I was bi sexual” and a life long drug addict and Jordan Peterson who sobs like a little girl at the slightest discomfort, come on, you can do better than this!",2022-02-11T07:11:21Z,0,0
Mr Random,It is so nice seeing two people who genuinely respect each other and are not out for eachothers throats,2022-02-08T07:44:42Z,0,0
Frances Jane,Russel is so chill and eager to have his ideas questioned! So funny when he’s like “what do you think? I made it up!” really we all can learn so much from this conversation on how to grow and let our ideas be questioned.,2022-01-19T06:28:16Z,0,0
Lorna Long,"For some 20 years I was a single mother and breadwinner and found myself having to 'do battle' with many people and circumstances in order to be both mother and provide for my 2 daughters.

My friends at the time, being quite esoteric folks, told me I was 'too masculine' . That I needed to work on being 'more feminine'.

My point of view was that when you need to do battle, probably a war negotiation or a battle axe is going to serve me better than whatever 'more feminine' means.

Now that my daughters are adults, independent and professionals in their own careers, my friends comment on not 'knowing how I did it'  (balancing career, motherhood, children with learning disorders, multiple therapists, teachers who did not understand and an acrimonious ex-husband, various legal battles he threw at me, financing all the extra therapies plus everything 2 young people in today's world need - for all of 2 decades). The answer is 'I had to go Viking' on it all.

My daughters were unhappy when I was clearly not 'as available' as they would have liked growing up. But I made sure we had plenty of family times and time out together in nature in the little leisure time we had.

Now they understand the example and picture I gave them.  They are fully able to embrace both masculine & feminine sides to their humanness - the workplace and potential partners are NOT particularly ready for that though.

They are just not your average women. They have fully embraced their 'masculine' side with being definitely women who mean business in today's world. At home, (metaphorically speaking) they are definitely not used to giving up the remote. We never had that issue in a 3-woman household.

Embracing both sides is just not comfortable for women. There is still enormous stereotyping working against women being ""allowed"" to be that. Women are frequently 'punished severely' - at home, in social groups and even quite definitively in the workplace where equality of competence should be most of tolerated.",2022-01-09T15:54:07Z,0,0
Insolator,Don't worry.. Cucker is getting yall FREE viagra for your prob..,2022-01-09T14:50:34Z,0,0
jovin,Russell lacks testosterone you can tell,2022-01-03T09:03:12Z,0,0
Jean Gibbs,"I have Heard preachers preach since I was a kid and screw kids in the bathroom. Seen politicians call each other names in public and clap each other on the back in a private gentleman club laughing at the stupid public. I don't believe anything any more. Not you not anyone. It's all garbage. The only reason I don't jump off a bridge is like patty page said I am not ready for that final disappointment. Men don't protect women
 They feed off of them",2021-12-26T14:44:16Z,0,0
PrettyLitch,It's very cute how Russell Brand clearly admires and respects Jordan Peterson's knowledge.,2021-12-08T04:21:24Z,0,0
Ilija Stanojković,"Russel is one of a few that can speak about drug abuse, politics, Hollywood and just about anything because he jas been through the bottom and the top.",2021-12-06T23:17:39Z,0,0
Kiopis,"""You have to have a place at the table for the serpent"" I think that ties nicely into the idea of embracing your shadow and becoming a monster as Jordan Peterson talks about a lot. Good stuff.",2021-11-28T02:09:43Z,2,0
