Name,Comment,Time,Likes,Reply Count
Titan,"Anthem: Stupid Again - Tory Lanez 

Women don't want a good listener, they want the baddest Demon in town.",2020-06-30T17:51:49Z,12,0
Josiah,You gotta do a video on Dr.Dre's wife  filing for divorce,2020-06-30T17:25:51Z,1,0
KESHAWN,Factsss,2020-06-30T16:44:37Z,0,0
1080phil,all facts,2020-06-30T16:07:59Z,0,0
BoredReisu,Actions speak louder than words fs,2020-06-30T16:05:07Z,0,0
Evokethewoke,"Appreciate the game G. Just got out a five year fairly recently and the alpha is back. It took some time but I swear I turned from purple pill to red pill the second she ended it. Now, I got a couple baddies in rotation and need some advice. More like a couple questions: 1. Should I be open about talking to other women? One wants to be “single” which is coo wit me we all in the game and the other just broke up with bf but I’m assuming just saying I’m single is enough. Do you think there’s a smooth way to tell em you’re talking to someone else. 2. How often should I text them/communicate with them? They’re both different cases haha the “single” one is way older and the other is a cool friend",2020-06-30T15:45:25Z,0,0
Toilet Paper,nbs bro all these girls be talkin bout “good guy” but be gettin bussed down by a DUMPER😂,2020-06-30T15:29:26Z,9,0
Niran Raj9,Bro I met a girl exactly like this *sigh sometimes better to be single than married it seems,2020-06-30T15:22:19Z,1,0
Masmetwo,👌 Steph is only speaking the truth,2020-06-30T15:11:08Z,0,0
Alpha,Steph always come with straight facts,2020-06-30T15:07:50Z,0,0
Jeremy Baret,Knowledge is power fellas. Lets sit down and inform ourselves with the mind of steph,2020-06-30T14:59:50Z,0,0
JUSTLAFLEUR,This video hitting,2020-06-30T14:53:24Z,0,0
Sky Captain,The provider game is completely backward if you're alpha. They chase and spend money on the men they deeply lust after,2020-06-30T14:45:11Z,37,0
Kolby Terrelonge,A women actually likes when you care less about her than she cares about you. This comes down to putting your value at the highest level. Let them put you on a pedestal.,2020-06-30T14:26:08Z,132,0
YoJoel,"guys I got a question , so like can we hollar at females or no we have to let them come to us ?",2020-06-30T14:23:19Z,0,0
NoCap RayRich,"We all are electric magnetic beings, Male's are like electric n Females are like magnet, we push they pull",2020-06-30T14:13:37Z,0,0
NoCap RayRich,"I guess she's attracted to toxic men's because they probably don't know how to secure their energy n they give it out freely, other than men's who on Semen retention.Correct me fam, Peace bro💯 Great knowledge n info 🌍",2020-06-30T14:08:21Z,0,0
tim robinson,I be one of these toxic men lol and they always come back even years later lol I’m in bed with a chick from 5 years ago rn and i ain’t hit her up lol,2020-06-30T13:58:57Z,10,0
Tony G,"Much respect bro, Actions speak louder than words!",2020-06-30T13:47:26Z,0,0
A I,Work on yourself my niggas 🤘🏿💯 oh and my fellas 🔥👌🏼✌🏻,2020-06-30T13:32:40Z,1,0
Ÿoungbosślijah,Growing up with a single mother is hard. Now I got ams and steph I see the world differently. It’s like being 50 years old and  just learning how to read a book.,2020-06-30T13:26:04Z,2,0
buyer lit,"fax, women loves Toxic just as much as they love drama.",2020-06-30T13:08:06Z,0,0
Yes,Took me a while to learn this shit cause I grew up with a lot of sisters and female friends so you know how that goes. Now I’m starting to realize. Late but better late than never.,2020-06-30T13:03:57Z,83,2
Johann Muster,"same, but once you go it, your life changes 360",2020-08-06T18:10:42Z,2,
jaynotonyoutube,"Same man i just read the ""Rational male"" opened my mf eyes man lowkey got me down about finding out the things enforced by sisters, women in my life were BS",2020-07-04T22:12:48Z,5,
Kekoa Smith,"If you are young and alpha, you have the first part of life figured out. You are probably wondering if the wifey material women with the gawk gawk combo attachment exist. The answer is yes but its very rare. That one awkward/shy girl in the corner of your classroom or the fat girl who applied herself years later is that women. In the long run, the beta male either ends up with no one or the highschool baddie if he has money. Don't worry these thots will have been run through 100x over, gain weight and end up draining their beta male providers of their non-sexual energy, money, and cheat on them.",2020-06-30T12:55:44Z,0,0
assassin x,One sure why to get them is to act like don't even exist!! Especially if you got looks. Girls can't stand being ignored it drives them crazy!!,2020-06-30T11:53:19Z,0,0
Javada Parkes,Bro I experienced it 1st hand. They can not be honest! Neeeeverrrr!!!!,2020-06-30T11:36:46Z,0,0
Antonio Ro,"Theres this girl I follow, her feed is nothing but those relationship goaly word porn memes",2020-06-30T10:20:57Z,4,1
Bonedadon,Is it ok to get my girls password to her social media 🤔?,2020-06-30T10:09:04Z,1,1
Danville Boost!,if she ok with it but honestly i would't do that unless u feel something is off,2020-07-01T01:09:35Z,0,
Curtis Bell,"Question when u say you shouldn’t believe what these women say does that go for the freaky talk that they give you via text or on the phone too ? A chick views me alpha and is sexually attracted to me from what I can tell ,& we plannin to link in July .",2020-06-30T09:18:40Z,1,0
KMEYOUNGKING,💯👉🏾https://youtu.be/MrjsoEkeGo0,2020-06-30T08:54:18Z,1,0
RSA Mancunian,"Blue pill Bob: "" uhm Stephon what's a 304?"" 




StephIsCold: ""Put it on your calculator and turn it upside down.""",2020-06-30T08:43:16Z,0,0
Dreamers’ Lifestyle,You speaking hella facts😂😭😭 you be killing me,2020-06-30T08:20:47Z,0,0
Jeremiah .M,At work watching this like a fiend,2020-06-30T08:18:19Z,0,0
christian henry,"Just be you. You dont have to play ""Games"" and if shes real like 100% She's not going to play the ""Games"". Its simple its either a person likes you for you or they don't.  And another thing stop chasing and replacing and be wise because if you knew that the future wasn't promised you'll think different. Men don't have a biological clock but you need to be careful waiting Time. Because it's something you can't get back.",2020-06-30T07:56:58Z,1,0
Link,Steph is cold Period!!! Nothing but facts!!!!,2020-06-30T06:50:28Z,0,0
dankwatermelon,"Remember fellas, never listen to the fish listen to the fisherMAN",2020-06-30T06:39:18Z,20,3
dankwatermelon,@Jonathan yessir... my #2 favorite anime of all time,2020-11-11T00:28:21Z,1,
Jonathan,You like Hajime no ippo too?,2020-11-10T20:11:43Z,1,
Becoming The 1,"We’re the fisherman finding the right fish in the sea. Unfortunately there’s no “right fish” it’s just you get a fish, eat it, get another one. Unless the loyal *rare* fishes",2020-07-05T06:04:10Z,0,
IPLAY2OVERCOME,She post that she want a different type of dude to try to get the dude thats really digging her out in his feelings. Meanwhile homie still digging her out. 🤣🤣🤣,2020-06-30T06:26:08Z,8,0
B renegadde,I literally will waste a chick time because I know they lie and are low key toxic  and that’s in the beginning 😂😂😂,2020-06-30T06:18:02Z,3,0
Mathew P.,"honestly big bro i thought you were older closer to 30s range probably the beard and the way you conduct yourself, but i just turned 20 maybe its my ethnicity but now that i think of it. Not cause i feel beta or some ive been peeping vids for a while you're right in most cases... To me my self i feel baby faced im not sure if you covered that but aside from working out and conducting yourself alpha is there any way to counter that or is that just some id need to work around? i already got a clean whip and i got a lil cheese but i dont be flashy with it cause loudest niqqa in the room not the toughest. id say i look halfway decent fucked enough to kno, i wanna play them hoes that aint give me the time a day.",2020-06-30T06:15:28Z,0,0
Boo boo Kitty,I have a question please... Women always say to other women don’t act too available act like you’re always out and busy but I’m a super HOMEBODY(wayyy before the quarantine) I’m work than home and I’m always home on the weekends... Is that a bad look?  Should I act like I go out to a man? Thank you,2020-06-30T06:13:07Z,1,3
1ST DEGREE MOBB,I know a girl that's a homebody and 50 niggas know where she live 💀,2020-07-04T08:00:57Z,0,
Boo boo Kitty,sarabi Motley I really am I homebody a lot of women are homebodys I hate clubs always have. But thanks for the reply.,2020-06-30T07:37:18Z,1,
sarabi Motley,No just tell him you're a homebody I'm pretty sure he'll actually value you more. Are you really a homebody? nobody knows. On this channel he really exposes female nature and characteristics. So you might wanna go on Asha c page,2020-06-30T07:35:07Z,1,
Zubair,Love you G ❤️💪🏾,2020-06-30T05:59:20Z,0,0
Pinky mcnasty Stinky,Your poster is cold,2020-06-30T05:38:49Z,0,0
Mr. Sir Man,I'm playing obv when I say this. Where the girls that wamted to compare hand sizes. Luv the vid Steph,2020-06-30T05:35:11Z,0,0
SickaThnYaAvrge,This guy cracking more codes than Jumanji 😂,2020-06-30T05:06:21Z,0,0
Jonart Moreno,Trust the actions not there words fellas.,2020-06-30T04:50:56Z,1,0
Akobi Ballantyne,Bro you were really in your bag on this one. Another one of your coldest videos. Gospel.,2020-06-30T04:30:02Z,0,0
